street_address,ticket_count
2075 BAYVIEW AVE,82624
20 EDWARD ST,72222
1750 FINCH AVE E,52860
JAMES ST,42053
4700 KEELE ST,41441
2075 BAYVIEW AV,38302
LA PLANTE AVE,29981
15 MARINE PARADE DR,29949
2 COOPER ST,28337
40 ORCHARD VIEW BLVD,28237
1 BRIMLEY RD S,27837
25 ST MARY ST,27831
4001 LESLIE ST,27610
1265 MILITARY TRL,26655
70 YORK ST,24429
EDWARD ST,23999
25 THE WEST MALL,23959
3401 DUFFERIN ST,23946
150 GERRARD ST W,23643
74 VICTORIA ST,23355
15 ASQUITH AVE,23090
103 THE QUEENSWAY,22846
WELLINGTON ST W,22793
60 BLOOR ST W,22791
110 ELM ST,22559
30 GRAND TRUNK CRES,21915
33 ELMHURST AVE,21672
150 YORK ST,21587
200 KING ST E,21583
225 KING ST W,21435
1000 FINCH AVE W,21423
55 CENTRE AVE,20708
70 MILL ST,20520
15 DEVONSHIRE PL,20432
30 BOND ST,20242
200 ELIZABETH ST,20158
66 WELLINGTON ST W,20057
ALBERT ST,19317
199 RICHMOND ST W,18966
75 PORTLAND ST,18963
80 FRONT ST E,18464
50 LYNN WILLIAMS ST,18393
30 ADELAIDE ST E,18285
25 LEONARD AVE,18212
24 BELLAIR ST,18193
941 PROGRESS AVE,17948
825 COXWELL AVE,17557
2 JAMES ST,17539
YONGE ST,17492
80 MILL ST,17420
205 HUMBER COLLEGE BLVD,17360
YORK ST,17239
244 VICTORIA ST,17098
19 GRAND TRUNK CRES,17075
100 KING ST W,17015
840 COXWELL AVE,16901
33 ORCHARD VIEW BLVD,16800
700 LAWRENCE AVE W,16746
15 BREADALBANE ST,16728
273 BLOOR ST W,16651
100 MAITLAND ST,16615
700 HUMBERWOOD BLVD,16200
39 SUNNYSIDE AVE,16169
101 ELM ST,16058
38 JOE SHUSTER WAY,16052
10 PARKDALE RD,16040
201 ELIZABETH ST,15980
111 ELIZABETH ST,15937
150 DAN LECKIE WAY,15899
1675 LAKE SHORE BLVD E,15614
55 TOWN CENTRE CRT,15476
2181 YONGE ST,15241
60 MURRAY ST,15098
18 ORDE ST,15036
23 HOLLYWOOD AVE,14908
FRONT ST E,14789
160 MUTUAL ST,14740
55 MAITLAND ST,14728
348 DANFORTH AVE,14722
PEARL ST,14458
58 MARINE PARADE DR,14411
155 LEGION RD N,14387
45 DUNFIELD AVE,14248
393 UNIVERSITY AVE,14242
92 YORKVILLE AVE,14164
50 CUMBERLAND ST,14119
2401 YONGE ST,14078
250 FRONT ST E,14021
BEECROFT RD,13986
1 GRENVIEW BLVD N,13912
1873 BLOOR ST W,13875
18 GRENVILLE ST,13843
112 ELIZABETH ST,13628
76 PEARL ST,13586
ELIZABETH ST,13484
40 COLLEGE ST,13391
137 EDWARD ST,13362
31 ALEXANDER ST,13209
26 WELLINGTON ST E,13161
60 GROSVENOR ST,13152
